city,outcome,window,expo,n,ndonor,beta,se,ci_l,ci_u,p,sig,q
Wuhan,tsc,w70_90,tmax,34709,10090,-0.00773155477238328,0.0017146836373407401,-0.01109233470157113,-0.004370774843195429,6.512562911803423e-06,*,4.465757425236633e-05
Wuhan,sc_pre,w15_69,hw3,34400,10146,-0.005668313728223103,0.0012668186492941881,-0.00815127828083971,-0.0031853491756064943,7.660909258099724e-06,*,5.072050267431541e-05
Chongqing,np_post,w15_69,hwp95,8143,2764,0.011078924362505167,0.0024814234315781204,0.006215334436612051,0.015942514288398282,8.016394315088622e-06,*,5.1304923616567175e-05
Wuhan,sc_pre,w0_9,anyhw3,35384,10256,-0.11892728260934457,0.026761336059939297,-0.17137950128682558,-0.06647506393186356,8.830305945930342e-06,*,5.469092714898792e-05
Wuhan,tsc,w0_9,anyhw3,34677,10118,-0.11021520506200312,0.02493549981502239,-0.159088784699447,-0.06134162542455924,9.869548186240802e-06,*,5.9217289117444814e-05
Chongqing,np_post,w70_90,anyhw3,8096,2761,-0.15634844476402818,0.03588209946214252,-0.2266773597098275,-0.08601952981822884,1.316872408078996e-05,*,7.661803101550522e-05
Wuhan,pr_post,w15_69,tmax,15964,3455,-0.010142788422717833,0.0023928393790184337,-0.014832753605593963,-0.005452823239841703,2.24709014980752e-05,*,0.00012689450257736583
Wuhan,tsc,w70_90,anyhw3,34709,10090,-0.10298141600896027,0.024701084215505275,-0.15139554107135061,-0.05456729094656993,3.057979699086175e-05,*,0.00016775202920701302
Chongqing,pr_pre,w70_90,anyhw3,20384,10482,-0.11789845028922424,0.028573296556747004,-0.17390211154044838,-0.061894789038000116,3.688450446915016e-05,*,0.00019671735716880084
Chongqing,sc_pre,w70_90,tmax,20384,10482,0.008077586988666471,0.0019747377280935115,0.004207101041603188,0.011948072935729755,4.305172361762031e-05,*,0.00022340353877251621
Wuhan,tsc,w0_90,anyhw3,32975,9657,-0.08270431721486085,0.021524541420476186,-0.12489241839899418,-0.040516216030727525,0.00012187353221721644,*,0.0006157820575185672
Wuhan,sc_pre,w0_9,hw3,35384,10256,-0.01758225330738334,0.004717559647156138,-0.02682867021580937,-0.00833583639895731,0.00019378736442558718,*,0.0009540301017875061
Wuhan,pr_pre,w70_90,hw3,34732,10096,-0.008499727349823672,0.0022838784738220927,-0.012976129158514975,-0.00402332554113237,0.00019794891358448417,*,0.000950154785205524
Chongqing,np_post,w0_9,hwp95,8092,2744,0.02564727116992139,0.007200133642251052,0.011535009231109327,0.03975953310873345,0.00036796344034092276,*,0.0017231458669623699
Wuhan,tsc,w0_90,tmax,32975,9657,-0.006635217633768607,0.001883289522751322,-0.010326465098361198,-0.0029439701691760154,0.0004263592449183232,*,0.0019490708339123346
Chongqing,pr_post,w15_69,anyhw3,8143,2764,-0.13021700462665683,0.03816470474838253,-0.2050198259334866,-0.05541418331982707,0.0006449411375312853,*,0.0028797371722327158
Wuhan,sc_pre,w15_69,anyhw3,34400,10146,-0.0711452255152075,0.020987552919366426,-0.11228082923716569,-0.0300096217932493,0.0006992395813245547,*,0.0030512272639616933
Chongqing,sc_pre,w70_90,hw3,20384,10482,0.007872258974435813,0.0023607068234575064,0.0032452736004591008,0.012499244348412526,0.0008539017766258336,*,0.00364331424693689
Wuhan,tsc,w0_9,hw3,34677,10118,-0.014896118577464996,0.004478872573852897,-0.023674708822216672,-0.006117528332713319,0.0008814510010272053,*,0.0036790998303744223
Wuhan,tsc,w15_69,anyhw3,33725,10009,-0.06777871668276095,0.020546703262800184,-0.10805025507784931,-0.027507178287672587,0.0009711165774226862,*,0.003967114529045867
Chongqing,np_post,w15_69,tmax,8143,2764,0.007914094278531533,0.002417665172573588,0.0031754705402873007,0.012652718016775765,0.0010624501729498508,*,0.004249800691799403
Wuhan,tsc,w15_69,hw3,33725,10009,-0.003589605295010081,0.001110327315518242,-0.005765846833425835,-0.0014133637565943266,0.0012252958808423927,*,0.0048011593698314165
