city,outcome,window,expo,n,ndonor,beta,se,p,q,ci_l,ci_u,sig
Chongqing,sc_post,w0_9,tmax,8102,2745,-0.0012247105243551155,0.002827982381727571,0.6649648941899279,0.7425251515757108,-0.006767555992541155,0.004318134943830924,
Wuhan,pr_pre,w70_90,anyhw3,16621,2688,0.015393062219614784,0.03570340888882874,0.6663687257730737,0.7425251515757108,-0.05458561920248954,0.08537174364171911,
Wuhan,volume,w0_90,tmax,16621,2688,0.00127839627015352,0.003118336742408229,0.6818345988757404,0.7543701945008192,-0.004833543744966608,0.007390336285273649,
Chongqing,sc_pre,w0_90,tmax,8143,2763,-0.0013250775422316739,0.0038878340385786257,0.7332340689428003,0.8055247517963159,-0.00894523225784578,0.006295077173382433,
Chongqing,tsc,w0_90,anyhw3,8143,2763,-0.012231506346529336,0.03700460982493656,0.7409919203743562,0.8083548222265704,-0.08476054160340499,0.060297528910346315,
Chongqing,pr_post,w70_90,hwp95,8143,2763,-0.014770193256223776,0.054382776408983396,0.7859319865798847,0.8514263187948752,-0.12136043501783124,0.09182004850538368,
Wuhan,pr_pre,w0_9,tmax,16621,2688,0.0003884933829239114,0.0021230234158033045,0.8548053741477977,0.9189925041836768,-0.003772632512050565,0.004549619277898388,
Chongqing,tsc,w0_9,anyhw3,8102,2745,0.00636107468898809,0.036087343139902466,0.8600827282744667,0.9189925041836768,-0.06437011786522073,0.07709226724319693,
Chongqing,sc_pre,w70_90,hwp95,8143,2763,-0.010761386955163831,0.069410136914781,0.876789336429124,0.9247631567798783,-0.14680525530813457,0.12528248139780693,
Chongqing,sc_post,w15_69,hwp95,8143,2763,0.006303065749970521,0.04083807809026781,0.877339405150141,0.9247631567798783,-0.07373956730695437,0.08634569880689542,
Wuhan,sc_pre,w0_9,hwp95,16621,2688,0.009832954915539234,0.08172233612362734,0.9042284650642293,0.9467089969799984,-0.15034282388677034,0.1700087337178488,
Chongqing,volume,w0_90,hwp95,8143,2763,-0.006492103180086423,0.05849438935421186,0.9116268400574471,0.9480919136597449,-0.12114110631434166,0.10815689995416883,
Chongqing,volume,w0_9,anyhw3,8102,2745,0.00361198376840477,0.04222874683598884,0.9318370520957016,0.9607349468683486,-0.07915636003013335,0.08638032756694289,
Chongqing,sc_pre,w0_9,anyhw3,8102,2745,0.0030448926108049895,0.03797965552349239,0.9361007174614678,0.9607349468683486,-0.07139523221524009,0.07748501743685006,
Chongqing,tsc,w0_9,hwp95,8102,2745,0.002159461041202063,0.053828872992549404,0.9679997280625545,0.9861154005717266,-0.10334513002419478,0.10766405210659889,
Wuhan,tsc,w0_9,tmax,16621,2688,8.327910261900645e-05,0.0025976329566479196,0.9744245124373213,0.9861154005717266,-0.005008081492410916,0.005174639697648929,
Chongqing,volume,w15_69,anyhw3,8143,2763,-0.0011630611489717245,0.04592181181376138,0.9797941480039591,0.9861154005717266,-0.09116981230394403,0.08884369000600056,
Wuhan,sc_pre,w0_9,anyhw3,16621,2688,-0.00046294736270299964,0.04970673880861833,0.9925689509724025,0.9925689509724024,-0.09788815542759492,0.09696226070218893,
